Category,GRN no,Customer/Vendor Code,VendorName,Address,LC No,Posting Date,Item No.,Item Description,Inventory UoM,Quantity,Price,Price USD,Total Amount
Chemical,3358,V000000044,SONALI PAPER AND STATIONARY,,,11/24/2021,C0000015,Ring File (Small),PCS,20,60,0.71,14.12
Chemical,5179,V000000044,SONALI PAPER AND STATIONARY,,,3/27/2022,C0000015,Ring File (Small),PCS,10,65,0.76,7.65
Chemical,7902,V000000044,SONALI PAPER AND STATIONARY,,,9/6/2022,C0000015,Ring File (Small),PCS,6,65,0.76,4.59
Chemical,8774,V000000277,FAMOUS PRINTERS,"10/10 ARAMBAG(BESIDE CONTINANTIAL HEAD OFFICE),MOTIJHEEL ,DHAKA-1000.",,10/9/2022,C0000099,PARTICULOR BOOK AUTO CARBON (SEWING THREAD),PCS,79,240,2.82,223.06
Chemical,8774,V000000277,FAMOUS PRINTERS,"10/10 ARAMBAG(BESIDE CONTINANTIAL HEAD OFFICE),MOTIJHEEL ,DHAKA-1000.",,10/9/2022,C0000043,Requisition Slip Book,PCS,119,200,2.35,280
Chemical,8774,V000000277,FAMOUS PRINTERS,"10/10 ARAMBAG(BESIDE CONTINANTIAL HEAD OFFICE),MOTIJHEEL ,DHAKA-1000.",,10/9/2022,C0000096,DYEING ORDER SUBMIT SHEET,PCS,78,140,1.65,128.47
Chemical,8774,V000000277,FAMOUS PRINTERS,"10/10 ARAMBAG(BESIDE CONTINANTIAL HEAD OFFICE),MOTIJHEEL ,DHAKA-1000.",,10/9/2022,C0000092,PACKING SLIP BOOK (ZIPPER),PCS,280,150,1.76,494.12
Chemical,8774,V000000277,FAMOUS PRINTERS,"10/10 ARAMBAG(BESIDE CONTINANTIAL HEAD OFFICE),MOTIJHEEL ,DHAKA-1000.",,10/9/2022,C0000007,Challan Book,PCS,79,240,2.82,223.06
Chemical,8774,V000000277,FAMOUS PRINTERS,"10/10 ARAMBAG(BESIDE CONTINANTIAL HEAD OFFICE),MOTIJHEEL ,DHAKA-1000.",,10/9/2022,C0000086,LAB-DIP SUBMISSION (A4),PCS,"2,930.00",5.4,0.06,186.14
Chemical,9474,V000000044,SONALI PAPER AND STATIONARY,,,11/7/2022,C0000014,Ring File (Big),PCS,12,95,1.12,13.41
Chemical,9725,V000000044,SONALI PAPER AND STATIONARY,,,11/18/2022,C0000014,Ring File (Big),PCS,10,100,1.18,11.76
Chemical,11146,V000000277,FAMOUS PRINTERS,"10/10 ARAMBAG(BESIDE CONTINANTIAL HEAD OFFICE),MOTIJHEEL ,DHAKA-1000.",,1/25/2023,C0000207,FINISHED GOODS TRANSFER NOTE,PCS,20,225,2.65,52.94
Chemical,2332,V000000044,SONALI PAPER AND STATIONARY,,,9/15/2021,C0000015,Ring File (Small),PCS,6,80,0.94,5.65
Chemical,3059,V000000277,FAMOUS PRINTERS,"10/10 ARAMBAG(BESIDE CONTINANTIAL HEAD OFFICE),MOTIJHEEL ,DHAKA-1000.",,10/30/2021,C0000101,PACKING SLIP BOOK (BUTTON),PCS,116,135,1.59,184.24
Chemical,3059,V000000277,FAMOUS PRINTERS,"10/10 ARAMBAG(BESIDE CONTINANTIAL HEAD OFFICE),MOTIJHEEL ,DHAKA-1000.",,10/30/2021,C0000092,PACKING SLIP BOOK (ZIPPER),PCS,116,135,1.59,184.24
Chemical,3059,V000000277,FAMOUS PRINTERS,"10/10 ARAMBAG(BESIDE CONTINANTIAL HEAD OFFICE),MOTIJHEEL ,DHAKA-1000.",,10/30/2021,C0000010,Particulars Book (Auto Carbon For Button & Zipper),PCS,317,100,1.18,372.94
Button,10070,V000000751,MAA ACCESSORIES,"Mirpur 11, Dhaka-1216",,12/4/2022,40266,PERAL PRONG SNAP BUTTON,Gross,78,250,2.94,229.41
Chemical,1349,V000000063,AL-AMIN DESING POINT,,,6/22/2021,C0000085,DYEING RECEIPT SHEET,PCS,60,90,1.06,63.53
Chemical,1349,V000000063,AL-AMIN DESING POINT,,,6/22/2021,C0000092,PACKING SLIP BOOK (ZIPPER),PCS,104,90,1.06,110.12
Chemical,1349,V000000063,AL-AMIN DESING POINT,,,6/22/2021,C0000096,DYEING ORDER SUBMIT SHEET,PCS,60,90,1.06,63.53
Zipper,11977,V000000258,MIM ACCESSORIES,,,3/3/2023,41608,CZ#3 NYLON S/A/L REVERSE RUBBER PULLER,PCS,"11,000.00",2.8,0.03,362.35
Zipper,1235,V000000258,MIM ACCESSORIES,,,6/2/2021,41608,CZ#3 NYLON S/A/L REVERSE RUBBER PULLER,PCS,"6,000.00",2.5,0.03,176.47
Zipper,5979,V000000258,MIM ACCESSORIES,,,5/21/2022,41608,CZ#3 NYLON S/A/L REVERSE RUBBER PULLER,PCS,"49,600.00",2.5,0.03,"1,458.82"
Chemical,630,V000000063,AL-AMIN DESING POINT,,,4/19/2021,C0000092,PACKING SLIP BOOK (ZIPPER),PCS,87,90,1.06,92.12
Chemical,630,V000000063,AL-AMIN DESING POINT,,,4/19/2021,C0000087,LAB-DIP CARD (SEWING),PCS,120,90,1.06,127.06
Zipper,4272,V000000258,MIM ACCESSORIES,,,1/26/2022,41590,CZ#3 YG NYLON S/A/L RUBBER PULLER,PCS,"13,700.00",2.7,0.03,435.18
Zipper,11156,V000000258,MIM ACCESSORIES,,,1/25/2023,41608,CZ#3 NYLON S/A/L REVERSE RUBBER PULLER,PCS,"10,000.00",2.8,0.03,329.41
Chemical,1219,V000000063,AL-AMIN DESING POINT,,,6/13/2021,C0000010,Particulars Book (Auto Carbon For Button & Zipper),PCS,39,115,1.35,52.76
Zipper,1602,V000000258,MIM ACCESSORIES,,,7/10/2021,41608,CZ#3 NYLON S/A/L REVERSE RUBBER PULLER,PCS,"16,440.00",2.5,0.03,483.53
Button,10009,V000000040,HANGZHOU TARGET IMPORT COMPANY,,135622020211,11/30/2022,40075,SS STRIP 0.18*305 MM,KG,"5,348.00",3.81,3.81,"20,375.88"
Zipper,11162,V000000258,MIM ACCESSORIES,,,1/25/2023,41176,M/Z#5 LEATHER (USE FOR PULLER),PCS,"4,250.00",3,0.04,150
Chemical,468,V000000063,AL-AMIN DESING POINT,,,4/1/2021,C0000098,3 FOLDER,PCS,460,50,0.59,270.59
Chemical,554,V000000063,AL-AMIN DESING POINT,,,4/10/2021,C0000100,SAMPLE SLIP BOOK,PCS,120,138,1.62,194.82
Chemical,554,V000000063,AL-AMIN DESING POINT,,,4/10/2021,C0000101,PACKING SLIP BOOK (BUTTON),PCS,112,125,1.47,164.71
Chemical,554,V000000063,AL-AMIN DESING POINT,,,4/10/2021,C0000099,PARTICULOR BOOK AUTO CARBON (SEWING THREAD),PCS,100,185,2.18,217.65
Chemical,554,V000000063,AL-AMIN DESING POINT,,,4/10/2021,C0000010,Particulars Book (Auto Carbon For Button & Zipper),PCS,92,115,1.35,124.47
Zipper,3012,V000000258,MIM ACCESSORIES,,,10/27/2021,41605,CZ#5 S/P. A/L  SLIDER REVERSE BLACK RUBBER PULLER.,PCS,600,4.3,0.05,30.35
Zipper,1337,V000000021,"WENZHOU MUSE INTERNATIONAL TRADE  CO.,LTD","RM.1208, BUILDING NO 15, YUEHU TOWER, JIANGBIN WEST RD. WENZHOU, ZHEJIANG, CHINA",135621020046,6/19/2021,41511,50/2 SEWING THREAD,KG,"1,000.00",2.48,2.48,"2,480.00"
Sewing Thread,1416,V000000192,S.R THREAD & ACCESSORIES,,,6/27/2021,52601,SEWING THREAD 50/2 RAW WHITE,KG,"4,000.00",264.552,3.11,"12,449.51"
Sewing Thread,1416,V000000192,S.R THREAD & ACCESSORIES,,,6/27/2021,52610,SEWING THREAD 20/3 RAW WHITE,KG,"2,000.00",222.6646,2.62,"5,239.17"
Sewing Thread,1416,V000000192,S.R THREAD & ACCESSORIES,,,6/27/2021,52609,SEWING THREAD 20/2 RAW WHITE,KG,"2,000.00",222.6646,2.62,"5,239.17"
Zipper,2307,V000000021,"WENZHOU MUSE INTERNATIONAL TRADE  CO.,LTD","RM.1208, BUILDING NO 15, YUEHU TOWER, JIANGBIN WEST RD. WENZHOU, ZHEJIANG, CHINA",209721020179,9/13/2021,41557,CZ#5 BOX PIN ( L.H.P ),SET,"984,404.00",0.00585,0.01,"5,758.76"
Zipper,2586,V000000021,"WENZHOU MUSE INTERNATIONAL TRADE  CO.,LTD","RM.1208, BUILDING NO 15, YUEHU TOWER, JIANGBIN WEST RD. WENZHOU, ZHEJIANG, CHINA",209721020228,9/29/2021,41127,M/Z# 5 H Bottom,Kg,90,10,10,900
Zipper,3186,V000000021,"WENZHOU MUSE INTERNATIONAL TRADE  CO.,LTD","RM.1208, BUILDING NO 15, YUEHU TOWER, JIANGBIN WEST RD. WENZHOU, ZHEJIANG, CHINA",135621150288,11/10/2021,41587,CZ#3 INVISIBLE TEAR DROP PULLER ALC LOGO FF,PCS,"17,450.00",0.0695,0.07,"1,212.78"
Button,3379,V000000021,"WENZHOU MUSE INTERNATIONAL TRADE  CO.,LTD","RM.1208, BUILDING NO 15, YUEHU TOWER, JIANGBIN WEST RD. WENZHOU, ZHEJIANG, CHINA",MS2109291838,11/25/2021,41801,DIMOND STONE USE FOR PULLER,pcs,"48,740.00",0.006,0.01,292.44
Zipper,5551,V000000021,"WENZHOU MUSE INTERNATIONAL TRADE  CO.,LTD","RM.1208, BUILDING NO 15, YUEHU TOWER, JIANGBIN WEST RD. WENZHOU, ZHEJIANG, CHINA",135622230014,4/18/2022,41100,# 3 YG (4.5 on body) F.F (Y-TEETH) Without Logo,Pcs,"650,000.00",0.0224,0.02,"14,560.00"
